Link,Pilseta,Zemes Tips,Zemes Numurs,Datums,Datu iev.,Cena EUR,Cena m2,Platiba Daudzums,Platiba Mervieniba,Adrese
https://www.ss.com/msg/lv/real-estate/plots-and-lands/balvi-and-reg/vilaka/dmlxd.html,Balvi un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 17.11.2022 12:22'],11/28/2022,23000,0.46,5,ha.,"Asariņi, Vecumu pag, Viļaka "
https://www.ss.com/msg/lv/real-estate/plots-and-lands/bauska-and-reg/iecavas-nov/aafgi.html,Bauska un raj.,Zeme privātmājas būvēšanai,40640020055,['Datums: 13.11.2022 20:49'],11/28/2022,23000,2.3,1,ha.,Malenieši ___ 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/kraslava-and-reg/konstantinovas-pag/abomh.html,Krāslava un raj.,Cits,NA,['Datums: 22.11.2022 16:17'],11/28/2022,23000,0.33,7,ha.,Zandas 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/kuldiga-and-reg/kuldiga/bhcml.html,Kuldīga un raj.,Zeme privātmājas būvēšanai,62010110070,['Datums: 08.11.2022 10:32'],11/28/2022,23000,19.39,1186,m²,Zemeņu 7 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/rezekne-and-reg/luznavas-pag/kefbj.html,Rēzekne un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 21.10.2022 16:00'],11/28/2022,23000,1.22,1.88,ha.,Ismeru aina 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/tukums-and-reg/tumes-pag/afdic.html,Tukums un raj.,Zeme privātmājas būvēšanai,90840080404,['Datums: 14.11.2022 22:43'],11/28/2022,23000,5.64,4076,m²,Darbnīcu ceļs 2 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/valmiera-and-reg/valmiera/ciplp.html,Valmiera un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 23.11.2022 14:52'],11/28/2022,22900,21.73,1054,m²,Meldru iela 14 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/aizkraukle-and-reg/jaunjelgava/pxnxi.html,Aizkraukle un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 28.11.2022 13:11'],11/28/2022,22740,12,1895,m²,Sapali 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/ogre-and-reg/other/cxpfbe.html,Ogre un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 19.11.2022 09:33'],11/28/2022,22740,12,1895,m²,Sapali 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/kuldiga-and-reg/kurmales-pag/jiomm.html,Kuldīga un raj.,Lauksaimniecības zeme,62600010217,['Datums: 17.10.2022 21:56'],11/28/2022,22500,0.45,5,ha.,Salas 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/talsi-and-reg/vandzenes-pag/ncckn.html,Talsi un raj.,Zeme privātmājas būvēšanai,88940050477,['Datums: 28.11.2022 12:57'],11/28/2022,22500,3.62,6221,m²,Viršulejas 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/valmiera-and-reg/kauguru-pag/afhgc.html,Valmiera un raj.,Zeme privātmājas būvēšanai,96620020066,['Datums: 03.11.2022 18:07'],11/28/2022,22500,2.25,1,ha.,Segļi x 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/aizkraukle-and-reg/aizkraukles/gcojb.html,Aizkraukle un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 18.11.2022 11:05'],11/28/2022,22000,2.2,1,ha.,Mieriņi 1 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/dobele-and-reg/zebrenes-pag/foxpl.html,Dobele un raj.,Lauksaimniecības zeme,46980030015,['Datums: 07.10.2022 02:02'],11/28/2022,22000,0.76,29000,m²,Auzeni 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/jekabpils-and-reg/jekabpils/exdhk.html,Jēkabpils un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 27.10.2022 11:27'],11/28/2022,22000,4.38,5018,m²,Sporta iela 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/rezekne-and-reg/rezekne/nenmh.html,Rēzekne un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 15.11.2022 23:28'],11/28/2022,22000,17.52,1256,m²,Kaunatas iela 13 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/tukums-and-reg/smardes-pag/fcjee.html,Tukums un raj.,Zeme privātmājas būvēšanai,90820100183,['Datums: 16.11.2022 08:19'],11/28/2022,22000,7.59,2900,m²,Draudzības iela 3 
